state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
AK,2002,642337.0,0.0,1.0,1050.0,2731101.0,24133.0,179438.0,0.0,1.0,"Vondersaar, Frank J.","Stevens, Ted "
AK,2008,687455.0,0.0,1.0,4576970.0,3858991.0,151767.0,147814.0,1.0,0.0,"Begich, Mark","Stevens, Ted"
AK,2010,713910.0,0.0,1.0,1331272.0,7439911.0,60045.0,183770.0,0.0,1.0,"McAdams, Scott T.","Murkowski, Lisa "
AK,2014,736283.0,1.0,0.0,8950661.0,7977268.0,129431.0,135445.0,0.0,1.0,"Begich, Mark","Sullivan, Dan"
AK,2016,741456.0,0.0,1.0,18286.0,4431094.0,36200.0,138149.0,0.0,1.0,"Metcalfe, Ray","Murkowski, Lisa"
AL,2002,4480089.0,0.0,1.0,1191848.0,4667726.0,538878.0,792561.0,0.0,1.0,"Parker, Susan","Sessions, Jeff"
AL,2008,4718206.0,0.0,1.0,332750.0,4956130.0,752391.0,1305383.0,0.0,1.0,"Figures, Vivian Davis","Sessions, Jeff"
AL,2010,4785437.0,0.0,1.0,5870.0,5283762.0,515619.0,968181.0,0.0,1.0,"Barnes, William G.","Shelby, Richard C."
AL,2016,4863525.0,0.0,1.0,33268.0,3467640.0,748709.0,1335104.0,0.0,1.0,"Crumpton, Ron","Shelby, Richard C."
AR,2002,2705927.0,0.0,1.0,4456340.0,4869537.0,433306.0,370653.0,1.0,0.0,"Pryor, Mark","Hutchinson, Tim"
AR,2010,2921964.0,1.0,0.0,10752803.0,3680708.0,288156.0,451618.0,0.0,1.0,"Lincoln, Blanche Lambert","Boozman, John"
AR,2014,2967392.0,1.0,0.0,11616728.0,13911690.06,334174.0,478819.0,0.0,1.0,"Pryor, Mark ","Cotton, Tom "
AR,2016,2989918.0,0.0,1.0,2279847.0,4178410.0,400602.0,661984.0,0.0,1.0,"Eldridge, Conner","Boozman, John"
AZ,2006,6029141.0,0.0,1.0,14709628.0,14123880.0,664141.0,814398.0,0.0,1.0,"Pederson, Jim","Kyl, Jon "
AZ,2010,6407172.0,0.0,1.0,1406934.0,18426347.0,592011.0,1005615.0,0.0,1.0,"Glassman, Rodney","McCain, John"
AZ,2012,6554978.0,0.0,0.0,6459791.0,9026951.0,1036542.0,1104457.0,0.0,1.0,"Carmona, Richard","Flake, Jeff"
AZ,2016,6941072.0,0.0,1.0,9283087.0,11756079.21,1031245.0,1359267.0,0.0,1.0,"Kirkpatrick, Ann","McCain, John"
AZ,2018,7158024.0,0.0,0.0,22643275.25,21876369.89,1191100.0,1135200.0,1.0,0.0,"Sinema, Kyrsten","McSally, Martha"
